epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1347.43,1.02984,0.78148,1.02942,0.96529,0.98338,0.995,0.66792,1.06163,1.12948,1.15555,0.000274148,0.000274148,0.000274148
67,1367.3,1.07652,0.72904,1.03241,0.9798,0.98235,0.995,0.66458,1.04318,1.10484,1.15261,0.000266535,0.000266535,0.000266535
68,1387.11,1.03748,0.79442,1.02313,0.98363,0.98499,0.995,0.66399,1.04349,1.09642,1.15317,0.000258922,0.000258922,0.000258922
69,1407.35,0.98215,0.766,1.01986,0.97787,0.98756,0.995,0.6691,1.05483,1.06923,1.15757,0.000251309,0.000251309,0.000251309
70,1426.68,1.01622,0.73827,1.04215,0.95944,0.9796,0.98748,0.66734,1.08179,1.04324,1.16424,0.000243696,0.000243696,0.000243696
71,1446.06,0.96287,0.73385,1.00056,0.94339,0.98125,0.9836,0.66056,1.08808,1.00231,1.16417,0.000236083,0.000236083,0.000236083
72,1465.86,0.94559,0.74176,1.02835,0.94351,0.98115,0.9836,0.66083,1.09257,0.97206,1.1702,0.00022847,0.00022847,0.00022847
73,1485.47,0.98465,0.83094,1.02414,0.94618,0.98263,0.98476,0.66582,1.09704,0.95533,1.17705,0.000220857,0.000220857,0.000220857
74,1504.78,1.00241,0.74954,1.02303,0.95239,0.98171,0.98827,0.67458,1.10087,0.96088,1.18224,0.000213244,0.000213244,0.000213244
75,1524.56,1.00758,0.75563,1.07873,0.93428,0.98214,0.98476,0.65963,1.09659,0.97717,1.18466,0.000205631,0.000205631,0.000205631
76,1543.72,0.89274,0.73163,0.98713,0.92975,0.98355,0.98439,0.66139,1.09869,1.01167,1.1896,0.000198018,0.000198018,0.000198018
77,1562.98,0.94409,0.77796,1.02688,0.93352,0.98124,0.98256,0.64737,1.09905,1.06596,1.19338,0.000190404,0.000190404,0.000190404
78,1582.48,0.91966,0.7944,1.00494,0.92924,0.98554,0.9841,0.64398,1.09882,1.09128,1.19388,0.000182791,0.000182791,0.000182791
79,1601.76,0.99328,0.85745,1.05707,0.93264,0.9895,0.98341,0.65697,1.08867,1.09166,1.19054,0.000175178,0.000175178,0.000175178
80,1621.1,0.97898,0.81219,1.043,0.94116,0.9894,0.98302,0.66467,1.06404,1.08656,1.18261,0.000167565,0.000167565,0.000167565
81,1640.35,0.94662,0.78823,1.05572,0.95424,0.98727,0.99004,0.68518,1.05495,1.07342,1.18437,0.000159952,0.000159952,0.000159952
82,1659.72,0.91089,0.70134,0.99547,0.96176,0.98808,0.99073,0.69075,1.03682,1.0446,1.17782,0.000152339,0.000152339,0.000152339
83,1679.18,0.97255,0.75824,1.0387,0.96788,0.98648,0.99218,0.69787,1.0286,1.01445,1.17553,0.000144726,0.000144726,0.000144726
84,1698.66,0.92508,0.69781,0.98144,0.97166,0.98751,0.99218,0.69762,1.02546,1.00017,1.17557,0.000137113,0.000137113,0.000137113
85,1718.04,0.90711,0.69683,0.99019,0.96958,0.98827,0.99218,0.69561,1.03961,0.98465,1.18091,0.0001295,0.0001295,0.0001295
86,1737.59,0.97101,0.76039,1.02795,0.96634,0.98766,0.9915,0.68913,1.06381,0.98251,1.19373,0.000121887,0.000121887,0.000121887
87,1756.94,0.95879,0.69717,0.99126,0.95592,0.99105,0.99073,0.68499,1.08921,0.99047,1.21515,0.000114273,0.000114273,0.000114273
88,1776.21,0.95579,0.71239,1.00746,0.95334,0.99332,0.99073,0.6854,1.09675,0.99191,1.22808,0.00010666,0.00010666,0.00010666
89,1795.46,0.92992,0.80116,1.03557,0.95311,0.98909,0.99073,0.68439,1.09613,1.00074,1.23269,9.90472e-05,9.90472e-05,9.90472e-05
90,1814.71,0.82189,0.74072,0.98675,0.95295,0.98935,0.99004,0.68442,1.07955,0.98817,1.2157,9.14341e-05,9.14341e-05,9.14341e-05
91,1833.95,0.86966,0.88994,0.98078,0.95766,0.9868,0.99004,0.68829,1.07388,0.9878,1.20505,8.3821e-05,8.3821e-05,8.3821e-05
92,1853.22,0.89128,0.86702,1.02673,0.95742,0.98619,0.99004,0.68871,1.05046,0.99528,1.18678,7.62079e-05,7.62079e-05,7.62079e-05
93,1872.69,0.8873,0.81855,0.99668,0.95481,0.99064,0.99073,0.68247,1.03964,0.98505,1.17558,6.85948e-05,6.85948e-05,6.85948e-05
94,1891.93,0.87896,0.88608,0.98846,0.94825,0.99466,0.9915,0.68617,1.0333,1.0036,1.17456,6.09817e-05,6.09817e-05,6.09817e-05
95,1910.86,0.74814,0.99372,0.96927,0.94592,0.99401,0.99073,0.68264,1.03433,1.02073,1.17803,5.33686e-05,5.33686e-05,5.33686e-05
96,1929.88,0.90151,0.87833,0.99301,0.94387,0.99303,0.9915,0.68563,1.03598,1.03731,1.18435,4.57555e-05,4.57555e-05,4.57555e-05
97,1948.97,0.87311,0.85106,1.02644,0.94541,0.9906,0.99073,0.68503,1.04873,1.02887,1.19351,3.81424e-05,3.81424e-05,3.81424e-05
98,1968.31,0.91244,0.80753,0.95467,0.94659,0.99496,0.99218,0.68265,1.04629,1.02627,1.19095,3.05293e-05,3.05293e-05,3.05293e-05
99,1987.53,0.88626,0.78406,0.96538,0.94356,0.99578,0.99218,0.68336,1.05143,1.02013,1.19512,2.29162e-05,2.29162e-05,2.29162e-05
100,2006.48,0.84988,0.84654,0.98905,0.94805,0.9956,0.99218,0.68319,1.0535,1.024,1.19833,1.53031e-05,1.53031e-05,1.53031e-05
